name,source,question,where,what,which,how,how_adj,why,place_names,place_types,objects,qualities,object_qualities,activities,situations,spatial_relationships
Han,GEOANALYTICAL,What is the pattern of accidents on ski pistes,,,,,,,,,,,,,,
Han,GEOANALYTICAL,Where are the nature reserves and forest areas in Shanghai,,,,,,,,,,,,,,
Han,GEOANALYTICAL,Where is the biggest park in Utrecht,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What areas are minimum 3km and maximum 5km away from the nearest road in UK,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What are the single family zoning categories in Utrecht,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What will be the long-term consequences of farming and forestry for the conservation area in Zdarske Vrchy,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What is the impact of racial residential segregation on low birth weight in the Detroit area,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What was the trajectory of a hurricane in Oleander,,,,,,,,,,,,,,
Han,GEOANALYTICAL,"Are there significant patterns of clustering of obesity and moderate physical activity in the neighborhoods of Metro Vancouver, Canada",,,,,,,,,,,,,,
Han,GEOANALYTICAL,"What is the long-term spatio-temporal landscape change in Kos Island, Greece",,,,,,,,,,,,,,
Han,GEOANALYTICAL,What is the spatial distribution of cervix cancer mortality rates for 118 counties of four states in the Western USA over 1970-1994,,,,,,,,,,,,,,
Han,GEOANALYTICAL,"What is the geographic accessibility to family physician and nurse practitioner services for seniors in Saskatchewan and Alberta, Canada",,,,,,,,,,,,,,
Han,GEOANALYTICAL,"Which road sections in Shenzhen city, China, are potential traffic bottlenecks",,,,,,,,,,,,,,
Han,GEOANALYTICAL,What is the density of trees in parks in Oleander,,,,,,,,,,,,,,
Han,GEOANALYTICAL,"If we locate a store here, what would be the impact on our closest existing store",,,,,,,,,,,,,,
Han,GEOANALYTICAL,What is the predicted snowfall for the new ski piste,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What are the areas with high population density and concentration of rental units in Utrecht,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What are the election results for individual candidates in each precinct of Dallas,,,,,,,,,,,,,,
Han,GEOANALYTICAL,What are directional trends in animal migration or grazing based on animal-tracking data,,,,,,,,,,,,,,
Han,GEOANALYTICAL,Where are the monthly hotspots of thefts and robberies in Shanghai in 2009,,,,,,,,,,,,,,
