name,source,question,where,what,which,how,how_adj,why,place_names,place_types,objects,qualities,object_qualities,activities,situations,spatial_relationships
Enkhbold,GEOANALYTICAL,Which future settlements might be located in flood-prone areas given increase in both population and population density in Addis Ababa,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the spatial distribution of aging populations in the Aichi Prefecture in Japan,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the effect of road widening on surrounding land uses,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What are the risk factors associated with physical access to health facilities among women of reproductive age in Dabat district, Ethiopia",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"How well can built environment, population characteristics, and travel behavior predict vehicle-pedestrian collisions in San Francisco, US",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"Where is there an area of privately owned land of a suitable size, with adequate access from an existing road",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where are houses that have no plumbing,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How did national tourism policies between 1989 and 2011 affect distribution of domestic tourism in South Korea,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What are the activity patterns of different employment groups like full-time employment, part-time employment, unemployed and homemaker in Tampa Bay Region, Florida",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Which areas are not serviced by libraries in Oleander,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where is a suitable place to open an office that is nearest to their best customers,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the effect of scale when analysing accessibility and its effects on population change,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where are the clusterings of low-income household in Netherlands,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How can future crop yields be predicted,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How can the main center and sub-centers of a polycentric city be identified based on nighttime light imagery and social media data,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,How did a river delta spread over time,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is a quite zone around a hospital that should be enforced by police,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"To what extent are there regional differences in population distribution in the Yunnan province, China",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the destination density for cyclists in the Metro Vancouver region of Canada,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where are the luxury hotels with more than 20 bedrooms in Happy Valley ski resort,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What are the moving trends of students in Leeds from 2010 to 2030,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the pattern of public spending in areas where the majority of residents are African American,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the accessibility of sexual and reproductive health (SRH) services in rural Mozambique,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"For a neighborhood, how did the crime rate change from last year to this year in Amsterdam",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What is the spatial accessibility to public buses, trams, and trains from points of interests in Melbourne, Australia",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What is annual indirect carbon emission from agricultural activities in Guangdong, South China",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,Where are freeways with 4 lanes in Netherlands,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What is the quickest route for the ski bus to pick up 5 sets of customers scattered across the Happy Valley resort,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,"What are the sites suitable for metro stations in Karbala, Iraqi",,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,What areas do have low precipitation and humidity in Spain,,,,,,,,,,,,,,
Enkhbold,GEOANALYTICAL,To what extent do socioeconomic characteristics of couples and selective migrations explain fertility variations between various residential contexts,,,,,,,,,,,,,,
