name,source,question,where,what,which,how,how_adj,why,place_names,place_types,objects,qualities,object_qualities,activities,situations,spatial_relationships
Haiqi,GEOANALYTICAL,"What are the most influential factors to urban land price in Hubei province, China",,what,,,,,Hubei province;China,,factors;land;price,,most influential;urban,,,in
Haiqi,GEOANALYTICAL,"What is the retail floor area ratio at the census tract level in Halifax Regional Municipality, Nova Scotia, Canada",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the density of robberies for each police beat in Dallas/Fort Worth metropolitan service area,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"What is the accessibility of residential units in Utrecht city to public waste collectors for glass, paper, plastic, and textile",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What are the interactions between population growth and changes in water and land resources in Original-stream Zone of the Tarim River from 1994 to 2005,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the topography of bicycle-friendly streets in the Metro Vancouver region of Canada,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,How suitable is an area for expanding A27 road in Utrecht,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,How did the population of an animal herd change as the animals moved,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,Where is a suitable place to schedule meetings can be closest to most employees,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"Where are the houses within 1 minute, 2 minutes, and 3 minutes driving time from each fire station assuming a fire truck averages about 30 mph",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What are the zoning categories in Utrecht,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What will be the need to adapt to the local public transport network and its capacity when a new neighborhood is built north of the town,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"Where are facilities that provide health care services located in Riverside-San Bernardino, CA",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"What is the aging population density at different areal units in the Aichi prefecture, Japan",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"What is the level of geographical heterogeneity in the risk of mistimed and unwanted pregnancies between rural and urban communities of Savannah, Forest and Coastal ecological zones in Ghana",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,How did the hotspots of domestic tourism activity in South Korea change between 1989 and 2011,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"How do connectivity, directness, and topology of a network affect the risk of cyclist-vehicle collision in Vancouver, Canada",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the rate of water removal with water wells from an aquifer in Amsterdam,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What are the spatial-temporal variations of hotspots for thefts and robberies in Shanghai in 2009,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the predominant land use type in the Happy Valley resort,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,How did the water levels in a lake change each month,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,Which are the determinant factors in the land-use change in the urban area of Yogyakarta in Indonesia,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,Where are areas of forestry in Europe in which Norwegian Spruce trees can be found,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"Where are the important geographic features like schools, hospitals, museums in the Houston-Galveston area",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What are the characteristics of population distribution in China in 2000,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,Which future settlements might be located in flood-prone areas given increase in both population and population density in Addis Ababa,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the spatial distribution of aging populations in the Aichi Prefecture in Japan,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,What is the effect of road widening on surrounding land uses,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"What are the risk factors associated with physical access to health facilities among women of reproductive age in Dabat district, Ethiopia",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"How well can built environment, population characteristics, and travel behavior predict vehicle-pedestrian collisions in San Francisco, US",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,"Where is there an area of privately owned land of a suitable size, with adequate access from an existing road",,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,Where are houses that have no plumbing,,,,,,,,,,,,,,
Haiqi,GEOANALYTICAL,How did national tourism policies between 1989 and 2011 affect distribution of domestic tourism in South Korea,,,,,,,,,,,,,,
