name,source,question,where,what,which,how,how_adj,why,place_names,place_types,objects,qualities,object_qualities,activities,situations,spatial_relationships
Ehsan,GEOANALYTICAL,"What are the most influential factors to urban land price in Hubei province, China",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the retail floor area ratio at the census tract level in Halifax Regional Municipality, Nova Scotia, Canada",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the density of robberies for each police beat in Dallas/Fort Worth metropolitan service area,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the accessibility of residential units in Utrecht city to public waste collectors for glass, paper, plastic, and textile",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the interactions between population growth and changes in water and land resources in Original-stream Zone of the Tarim River from 1994 to 2005,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the topography of bicycle-friendly streets the Metro Vancouver region of Canada,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,How suitable is an area for expanding A27 road in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,How did the population of an animal herd change as the animals moved,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where is a suitable place to schedule meetings can be closest to most employees,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"Where are the houses within 1 minute, 2 minutes, and 3 minutes driving time from each fire station assuming a fire truck averages about 30 mph",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the zoning categories in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What will be the need to adapt to the local public transport network and its capacity when a new neighborhood is built north of the town,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"Where are facilities that provide health care services located in Riverside-San Bernardino, CA",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the aging population density at different areal units in the Aichi prefecture, Japan",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the level of geographical heterogeneity in the risk of mistimed and unwanted pregnancies between rural and urban communities of Savannah, Forest and Coastal ecological zones in Ghana",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,How did the hotspots of domestic tourism activity in South Korea change between 1989 and 2011,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"How do connectivity, directness, and topology of a network affect the risk of cyclist-vehicle collision in Vancouver, Canada",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the rate of water removal with water wells from an aquifer in Amsterdam,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the spatial-temporal variations of hotspots for thefts and robberies in Shanghai in 2009,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the predominant land use type in the Happy Valley resort,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,How did the water levels in a lake change each month,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Which are the determinant factors in the land-use change in the urban area of Yogyakarta in Indonesia,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where are areas of forestry in Europe in which Norwegian Spruce trees can be found,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"Where are the important geographic features like schools, hospitals, museums in the Houston-Galveston area",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the characteristics of population distribution in China in 2000,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the pattern of accidents on ski pistes,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where are the nature reserves and forest areas in Shanghai,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where is the biggest park in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What areas are minimum 3km and maximum 5km away from the nearest road in UK,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the single family zoning categories in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What will be the long-term consequences of farming and forestry for the conservation area in Zdarske Vrchy,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the impact of racial residential segregation on low birth weight in the Detroit area,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What was the trajectory of a hurricane in Oleander,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"Are there significant patterns of clustering of obesity and moderate physical activity in the neighborhoods of Metro Vancouver, Canada",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the long-term spatio-temporal landscape change in Kos Island, Greece",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the spatial distribution of cervix cancer mortality rates for 118 counties of four states in the Western USA over 1970-1994,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the geographic accessibility to family physician and nurse practitioner services for seniors in Saskatchewan and Alberta, Canada",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"Which road sections in Shenzhen city, China, are potential traffic bottlenecks",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the density of trees in parks in Oleander,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"If we locate a store here, what would be the impact on our closest existing store",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the predicted snowfall for the new ski piste,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the areas with high population density and concentration of rental units in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the election results for individual candidates in each precinct of Dallas,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are directional trends in animal migration or grazing based on animal-tracking data,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where are the monthly hotspots of thefts and robberies in Shanghai in 2009,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,"What is the correlation between the aging population ratio and the aging population density in the Aichi prefecture, Japan",,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,How has land use changed over the last 20 years,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What is the dot density of rental units in Utrecht,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,What are the impact of land use and population density on seasonal surface water quality in the Wen-Rui Tang River watershed in China,,,,,,,,,,,,,,
Ehsan,GEOANALYTICAL,Where are the hurricane and flooding areas in the past in the Houston-Galveston area,,,,,,,,,,,,,,
Ehsan,GEOQA,Which museums are within 3km of Saint George hotel in London,,,,,,,,,,,,,,
Ehsan,GEOQA,Which castles are in the Highland council area of Scotland,,,,,,,,,,,,,,
Ehsan,GEOQA,Which is the closest airport to London,,,,,,,,,,,,,,
Ehsan,GEOQA,Which theaters are near Trafalgar Square,,,,,,,,,,,,,,
Ehsan,GEOQA,Where is Emirates Stadium located,,,,,,,,,,,,,,
Ehsan,GEOQA,Is the monument of the Great Fire of London east of King WIlliam Street,,,,,,,,,,,,,,
Ehsan,GEOQA,Which are the metropolitan counties of England,,,,,,,,,,,,,,
Ehsan,GEOQA,Which is the largest county of England,,,,,,,,,,,,,,
Ehsan,GEOQA,Is Liverpool part of Scotland,,,,,,,,,,,,,,
Ehsan,GEOQA,Which pubs in Liverpool are near Anfield stadium,,,,,,,,,,,,,,
Ehsan,GEOQA,Which is the highest building in London,,,,,,,,,,,,,,
Ehsan,GEOQA,Which restaurants are near Stonehenge,,,,,,,,,,,,,,
Ehsan,GEOQA,What is the name of the river that flows under the Queensway Bridge in Liverpool,,,,,,,,,,,,,,
Ehsan,GEOQA,"Are there more than 10 districts in Hampshire, England",,,,,,,,,,,,,,
Ehsan,GEOQA,Is England part of the United Kingdom ,,,,,,,,,,,,,,
Ehsan,GEOQA,Does the county of Durham border Essex,,,,,,,,,,,,,,
Ehsan,GEOQA,What is the elevation of the most elevated spot in county Down,,,,,,,,,,,,,,
Ehsan,GEOQA,Which hotels in Manchester are near Wharfside Way,,,,,,,,,,,,,,
Ehsan,GEOQA,Which medieval castles are in Scotland,,,,,,,,,,,,,,
Ehsan,GEOQA,Which county of England occupies the largest area,,,,,,,,,,,,,,
Ehsan,GEOQA,"Which are the main railway stations in Glasgow, Scotland",,,,,,,,,,,,,,
Ehsan,GEOQA,Is there an aerodrome in Essex,,,,,,,,,,,,,,
Ehsan,GEOQA,Is there a car park at most 1km from Waterloo Bridge,,,,,,,,,,,,,,
Ehsan,GEOQA,How many are the counties of England,,,,,,,,,,,,,,
Ehsan,GEOQA,Which Greek restaurants in London are near Wembley stadium,,,,,,,,,,,,,,
Ehsan,GEOQA,How many pharmacies are in 200 meter radius of High Street in Oxford,,,,,,,,,,,,,,
Ehsan,GEOQA,Which restaurants are at most 1km away from Big Ben,,,,,,,,,,,,,,
Ehsan,GEOQA,How many mountains are there in Scotland,,,,,,,,,,,,,,
Ehsan,GEOQA,Which football stadium has the biggest capacity in Ireland,,,,,,,,,,,,,,
Ehsan,GEOQA,Is there an airport in Dublin,,,,,,,,,,,,,,
Ehsan,GEOQA,In which part of England is Liverpool located,,,,,,,,,,,,,,
Ehsan,GEOQA,Which mountains are in Scotland,,,,,,,,,,,,,,
Ehsan,GEOQA,What is the distance between Liverpool and Glasgow,,,,,,,,,,,,,,
Ehsan,GEOQA,Which counties of Ireland does River Shannon cross,,,,,,,,,,,,,,
Ehsan,GEOQA,Is London south of Manchester,,,,,,,,,,,,,,
Ehsan,GEOQA,Which bars are near Prince street in Edinburgh,,,,,,,,,,,,,,
Ehsan,GEOQA,Is Cavan a county of Ireland,,,,,,,,,,,,,,
Ehsan,GEOQA,What is the most populated city in the United Kingdom except London,,,,,,,,,,,,,,
Ehsan,GEOQA,Which city of England is nearest to London,,,,,,,,,,,,,,
Ehsan,GEOQA,Are there any rivers that cross both England and Wales,,,,,,,,,,,,,,
Ehsan,GEOQA,Which colleges are in London,,,,,,,,,,,,,,
Ehsan,GEOQA,Is there a park in Dublin near Grafton Street,,,,,,,,,,,,,,
Ehsan,GEOQA,How many country councils are there in Ireland,,,,,,,,,,,,,,
Ehsan,GEOQA,Which pubs in Dublin are near Guinness Brewery,,,,,,,,,,,,,,
Ehsan,GEOQA,Is there a forest near Manchester,,,,,,,,,,,,,,
Ehsan,GEOQA,Which city council includes Dublin,,,,,,,,,,,,,,
Ehsan,GEOQA,Which rivers are in Great Britain,,,,,,,,,,,,,,
Ehsan,GEOQA,Is there a museum at most 1km from Liverpool,,,,,,,,,,,,,,
Ehsan,GEOQA,Is the county of Antrim bigger than the county of Armagh,,,,,,,,,,,,,,
Ehsan,GEOQA,Which mountains in Scotland have height more than 1000 meters,,,,,,,,,,,,,,
Ehsan,MSMARCO,what district is Fresno in,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is lafayette California in,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Kapolei,,,,,,,,,,,,,,
Ehsan,MSMARCO,which airport is near Puerto Viejo,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Greer,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is western Governors university in Texas,,,,,,,,,,,,,,
Ehsan,MSMARCO,what castle is in china Disneyland,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Kala located,,,,,,,,,,,,,,
Ehsan,MSMARCO,what bay is Aberdeen Proving Ground near,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Bullard Texas,,,,,,,,,,,,,,
Ehsan,MSMARCO,what area make up eastern North Carolina,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Hackensack,,,,,,,,,,,,,,
Ehsan,MSMARCO,what foreign nations colonized in Africa,,,,,,,,,,,,,,
Ehsan,MSMARCO,what airport is near Lee University,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Lowden Iowa,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Suffolk Virginia,,,,,,,,,,,,,,
Ehsan,MSMARCO,where does senator McCain live,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Hockessin Delaware located in,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Hillman Minnesota,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is the roman Colosseum,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is the rover pipeline in Tecumseh Michigan,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Lake Havasu Arizona located,,,,,,,,,,,,,,
Ehsan,MSMARCO,where to get daily dungeon Eso,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Waverly Minnesota,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Chesterfield in,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Dalsland,,,,,,,,,,,,,,
Ehsan,MSMARCO,where did Mark Twain live in Europe,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is sunrise senior living located in Crestwood New York,,,,,,,,,,,,,,
Ehsan,MSMARCO,where are Black Mountains in Arizona,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Harlem New York in,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Prague 1,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Lewisport Kentucky,,,,,,,,,,,,,,
Ehsan,MSMARCO,where does michael Schumacher live,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is the origin of river Sindhu,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Crawfordville Florida,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is french Guiana,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Lima Texas,,,,,,,,,,,,,,
Ehsan,MSMARCO,what region number is Detroit Michigan,,,,,,,,,,,,,,
Ehsan,MSMARCO,what exit is Ocean City off the gsp New Jersey,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Burkeville Virginia,,,,,,,,,,,,,,
Ehsan,MSMARCO,where did the brown tree snake enter the United States,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is the stage door at The Savoy theatre London,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Rocky Mount North Carolina,,,,,,,,,,,,,,
Ehsan,MSMARCO,where are the Boise Mountains,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county is Shandaken in,,,,,,,,,,,,,,
Ehsan,MSMARCO,what county for Cheney Washington,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is the shroud of Turin,,,,,,,,,,,,,,
Ehsan,MSMARCO,where does the Coral Reef run in Mexico,,,,,,,,,,,,,,
Ehsan,MSMARCO,where to find the secret password in Misao,,,,,,,,,,,,,,
Ehsan,MSMARCO,where is Ashland Missouri,,,,,,,,,,,,,,
